Category: All categories

Month,data scientist: (United States)
2004-01,0
2004-02,3
2004-03,4
2004-04,0
2004-05,3
2004-06,3
2004-07,0
2004-08,3
2004-09,2
2004-10,4
2004-11,3
2004-12,2
2005-01,0
2005-02,2
2005-03,3
2005-04,2
2005-05,2
2005-06,0
2005-07,0
2005-08,2
2005-09,4
2005-10,3
2005-11,0
2005-12,2
2006-01,3
2006-02,1
2006-03,0
2006-04,1
2006-05,1
2006-06,0
2006-07,0
2006-08,1
2006-09,1
2006-10,4
2006-11,2
2006-12,0
2007-01,1
2007-02,2
2007-03,2
2007-04,1
2007-05,1
2007-06,0
2007-07,1
2007-08,0
2007-09,2
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,2
2008-03,1
2008-04,3
2008-05,1
2008-06,2
2008-07,1
2008-08,3
2008-09,4
2008-10,1
2008-11,1
2008-12,2
2009-01,1
2009-02,3
2009-03,1
2009-04,1
2009-05,2
2009-06,1
2009-07,1
2009-08,2
2009-09,5
2009-10,3
2009-11,2
2009-12,2
2010-01,3
2010-02,2
2010-03,2
2010-04,2
2010-05,2
2010-06,2
2010-07,2
2010-08,3
2010-09,7
2010-10,4
2010-11,3
2010-12,4
2011-01,4
2011-02,3
2011-03,3
2011-04,3
2011-05,3
2011-06,3
2011-07,2
2011-08,6
2011-09,11
2011-10,6
2011-11,3
2011-12,6
2012-01,7
2012-02,6
2012-03,8
2012-04,7
2012-05,7
2012-06,6
2012-07,7
2012-08,10
2012-09,17
2012-10,12
2012-11,11
2012-12,10
2013-01,12
2013-02,12
2013-03,15
2013-04,22
2013-05,18
2013-06,16
2013-07,14
2013-08,19
2013-09,21
2013-10,19
2013-11,19
2013-12,15
2014-01,20
2014-02,24
2014-03,21
2014-04,21
2014-05,23
2014-06,24
2014-07,22
2014-08,36
2014-09,37
2014-10,32
2014-11,29
2014-12,27
2015-01,36
2015-02,31
2015-03,37
2015-04,40
2015-05,38
2015-06,37
2015-07,35
2015-08,43
2015-09,49
2015-10,55
2015-11,39
2015-12,35
2016-01,59
2016-02,47
2016-03,50
2016-04,44
2016-05,47
2016-06,42
2016-07,40
2016-08,44
2016-09,52
2016-10,51
2016-11,45
2016-12,48
2017-01,62
2017-02,65
2017-03,59
2017-04,63
2017-05,64
2017-06,59
2017-07,63
2017-08,67
2017-09,77
2017-10,71
2017-11,66
2017-12,56
2018-01,74
2018-02,77
2018-03,77
2018-04,73
2018-05,80
2018-06,78
2018-07,76
2018-08,85
2018-09,93
2018-10,86
2018-11,76
2018-12,67
2019-01,88
2019-02,89
2019-03,81
2019-04,86
2019-05,90
2019-06,80
2019-07,79
2019-08,98
2019-09,100
2019-10,91
2019-11,80
2019-12,79
